,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Rate
1,query,1000,0,400.0,0.01,0.0,0.0,399.7,400
2,transfer,1000,0,400.6,1.69,0.38,1.04,317.6,400
0,open,1000,0,486.6,1.91,0.46,1.06,345.9,500
1,query,1000,0,496.0,0.02,0.0,0.0,495.5,500
2,transfer,1000,0,479.2,2.01,0.2,1.27,343.5,500
0,open,1000,0,499.8,1.78,0.63,1.15,346.4,500
1,query,1000,0,498.5,0.02,0.0,0.0,497.8,500
2,transfer,1000,0,500.3,2.32,0.29,1.3,328.2,500
0,open,1000,0,498.5,1.7,0.45,1.05,344.7,500
1,query,1000,0,497.0,0.01,0.0,0.0,496.3,500
2,transfer,1000,0,472.4,2.02,0.26,1.2,357.9,500
0,open,1000,0,501.3,1.68,0.38,1.02,352.4,500
1,query,1000,0,499.8,0.01,0.0,0.0,499.3,500
2,transfer,1000,0,491.2,1.97,0.26,1.26,349.7,500
0,open,1000,0,498.8,1.68,0.48,1.05,347.3,500
1,query,1000,0,499.8,0.01,0.0,0.0,499.5,500
2,transfer,1000,0,482.2,2.11,0.24,1.24,348.2,500
0,open,1000,0,599.9,1.75,0.64,1.15,369.8,600
1,query,1000,0,599.2,0.01,0.0,0.0,598.4,600
2,transfer,1000,0,598.1,2.03,0.87,1.4,356.8,600
0,open,1000,0,580.7,1.79,0.69,1.18,370.1,600
1,query,1000,0,595.6,0.01,0.0,0.0,595.2,600
2,transfer,1000,0,583.8,1.83,0.79,1.37,360.1,600
0,open,1000,0,599.2,1.68,0.65,1.13,364.2,600
1,query,1000,0,597.7,0.03,0.0,0.0,597.0,600
2,transfer,1000,0,599.5,1.76,0.78,1.3,361.1,600
0,open,1000,0,578.0,1.7,0.64,1.15,364.6,600
1,query,1000,0,599.5,0.02,0.0,0.0,597.7,600
2,transfer,1000,0,595.2,2.31,1.01,1.61,325.4,600
0,open,1000,0,573.7,1.95,0.67,1.27,354.7,600
1,query,1000,0,599.5,0.03,0.0,0.0,599.2,600
2,transfer,1000,0,598.8,2.02,0.78,1.36,359.8,600
0,open,1000,0,679.3,1.64,0.64,1.22,431.0,700
1,query,1000,0,696.4,0.01,0.0,0.0,695.9,700
2,transfer,1000,0,697.8,2.14,0.68,1.36,370.1,700
0,open,1000,0,700.3,1.81,0.81,1.31,406.7,700
1,query,1000,0,696.4,0.01,0.0,0.0,694.9,700
2,transfer,1000,0,694.4,2.2,0.36,1.44,353.5,700
0,open,1000,0,654.9,1.86,0.78,1.32,367.4,700
1,query,1000,0,697.4,0.02,0.0,0.0,696.9,700
2,transfer,1000,0,700.3,2.25,1.21,1.66,353.6,700
0,open,1000,0,653.2,1.82,0.73,1.24,396.7,700
1,query,1000,0,700.3,0.02,0.0,0.0,699.3,700
2,transfer,1000,0,697.4,2.2,0.41,1.43,349.2,700
0,open,1000,0,648.9,1.56,0.66,1.19,437.8,700
1,query,1000,0,697.4,0.01,0.0,0.0,696.4,700
2,transfer,1000,0,700.8,2.0,0.74,1.34,378.5,700
0,open,1000,0,803.2,1.89,0.89,1.35,388.0,800
1,query,1000,0,794.3,0.01,0.0,0.0,793.7,800
2,transfer,1000,0,782.5,2.06,0.86,1.45,375.9,800
0,open,1000,0,791.1,1.98,0.87,1.36,396.0,800
1,query,1000,0,796.8,0.01,0.0,0.0,795.5,800
2,transfer,1000,0,789.3,2.15,0.9,1.55,345.8,800
0,open,1000,0,801.3,1.72,0.91,1.27,434.4,800
1,query,1000,0,796.2,0.01,0.0,0.0,795.5,800
2,transfer,1000,0,789.3,1.73,0.9,1.37,410.5,800
0,open,1000,0,802.6,1.69,0.9,1.26,438.4,800
1,query,1000,0,800.0,0.02,0.0,0.0,799.4,800
2,transfer,1000,0,801.3,1.69,1.01,1.36,413.1,800
0,open,1000,0,797.4,1.7,0.95,1.29,424.3,800
1,query,1000,0,800.6,0.02,0.0,0.0,800.0,800
2,transfer,1000,0,800.0,1.82,1.02,1.39,394.2,800
0,open,1000,0,898.5,1.86,0.99,1.39,415.3,900
1,query,1000,0,891.3,0.01,0.0,0.0,890.5,900
2,transfer,1000,0,898.5,2.02,1.13,1.62,369.0,900
0,open,1000,0,900.1,1.85,0.84,1.39,433.7,900
1,query,1000,0,891.3,0.02,0.0,0.0,890.5,900
2,transfer,1000,0,893.7,2.02,1.13,1.54,388.8,900
0,open,1000,0,895.3,1.72,0.92,1.26,455.4,900
1,query,1000,0,894.5,0.01,0.0,0.0,893.7,900
2,transfer,1000,0,881.8,2.31,1.38,1.76,377.5,900
0,open,1000,0,887.3,1.79,1.02,1.42,400.5,900
1,query,1000,0,889.7,0.01,0.0,0.0,888.9,900
2,transfer,1000,0,898.5,1.81,1.02,1.41,415.5,900
0,open,1000,0,900.9,1.84,1.01,1.34,452.1,900
1,query,1000,0,891.3,0.01,0.0,0.0,890.5,900
2,transfer,1000,0,899.3,2.22,1.05,1.75,367.1,900
0,open,1000,0,100.5,1.48,0.18,0.75,96.0,100
1,query,1000,0,100.4,0.07,0.0,0.0,100.3,100
2,transfer,1000,0,100.1,1.27,0.12,0.71,95.1,100
0,open,1000,0,100.2,1.22,0.13,0.67,94.0,100
1,query,1000,0,100.5,0.07,0.0,0.0,100.5,100
2,transfer,1000,0,100.4,1.3,0.12,0.68,94.9,100
0,open,1000,0,100.5,1.24,0.15,0.68,92.9,100
1,query,1000,0,100.4,0.05,0.0,0.0,100.3,100
2,transfer,1000,0,100.4,1.28,0.14,0.69,94.8,100
0,open,1000,0,100.2,1.17,0.13,0.65,92.8,100
1,query,1000,0,100.3,0.01,0.0,0.0,100.3,100
2,transfer,1000,0,100.4,1.24,0.13,0.69,94.8,100
0,open,1000,0,100.3,1.22,0.13,0.65,93.2,100
1,query,1000,0,100.3,0.03,0.0,0.0,100.3,100
2,transfer,1000,0,100.4,1.22,0.14,0.69,94.8,100
0,open,1000,0,992.1,1.74,0.88,1.34,412.4,1000
1,query,1000,0,985.2,0.02,0.0,0.0,983.3,1000
2,transfer,1000,0,998.0,2.13,1.26,1.69,358.9,1000
0,open,1000,0,988.1,1.92,0.98,1.35,427.4,1000
1,query,1000,0,987.2,0.04,0.0,0.0,985.2,1000
2,transfer,1000,0,997.0,2.33,1.27,1.71,338.4,1000
0,open,1000,0,991.1,1.69,0.98,1.31,455.0,1000
1,query,1000,0,986.2,0.01,0.0,0.0,984.3,1000
2,transfer,1000,0,992.1,2.6,1.5,2.05,299.9,1000
0,open,1000,0,999.0,1.65,0.94,1.3,457.7,1000
1,query,1000,0,976.6,0.03,0.0,0.0,974.7,1000
2,transfer,1000,0,998.0,2.49,1.47,1.9,378.6,1000
0,open,1000,0,990.1,1.64,0.84,1.3,469.9,1000
1,query,1000,0,982.3,0.02,0.0,0.0,981.4,1000
2,transfer,1000,0,1003.0,2.44,1.56,2.03,333.8,1000
0,open,1000,0,200.4,1.35,0.18,0.76,172.7,200
1,query,1000,0,200.4,0.01,0.0,0.0,200.4,200
2,transfer,1000,0,200.7,1.44,0.19,0.82,177.0,200
0,open,1000,0,200.9,1.5,0.18,0.75,173.5,200
1,query,1000,0,200.2,0.03,0.0,0.0,200.0,200
2,transfer,1000,0,200.3,1.42,0.15,0.83,180.0,200
0,open,1000,0,200.8,1.29,0.17,0.75,172.8,200
1,query,1000,0,200.2,0.01,0.0,0.0,200.0,200
2,transfer,1000,0,200.6,1.35,0.14,0.81,179.2,200
0,open,1000,0,199.2,1.38,0.17,0.76,173.4,200
1,query,1000,0,200.6,0.02,0.0,0.0,200.6,200
2,transfer,1000,0,199.6,1.39,0.16,0.81,180.3,200
0,open,1000,0,200.7,1.29,0.21,0.76,171.7,200
1,query,1000,0,200.3,0.03,0.0,0.0,200.2,200
2,transfer,1000,0,200.5,1.51,0.17,0.82,178.9,200
0,open,1000,0,297.7,1.66,0.37,0.94,253.9,300
1,query,1000,0,300.8,0.02,0.0,0.0,300.6,300
2,transfer,1000,0,300.2,1.71,0.5,1.05,243.3,300
0,open,1000,0,300.2,1.41,0.3,0.86,253.0,300
1,query,1000,0,299.8,0.02,0.0,0.0,299.6,300
2,transfer,1000,0,300.8,1.67,0.47,0.99,244.7,300
0,open,1000,0,300.0,1.45,0.27,0.87,253.7,300
1,query,1000,0,296.3,0.01,0.0,0.0,296.1,300
2,transfer,1000,0,300.6,1.65,0.46,1.0,245.5,300
0,open,1000,0,300.6,1.62,0.28,0.89,249.3,300
1,query,1000,0,298.9,0.01,0.0,0.0,298.7,300
2,transfer,1000,0,295.2,1.71,0.48,1.05,245.8,300
0,open,1000,0,299.4,1.9,0.29,0.95,237.2,300
1,query,1000,0,299.5,0.05,0.0,0.0,299.3,300
2,transfer,1000,0,300.8,1.58,0.41,0.99,248.4,300
0,open,1000,0,401.9,1.56,0.43,0.97,322.0,400
1,query,1000,0,401.0,0.02,0.0,0.0,400.6,400
2,transfer,1000,0,401.0,1.78,0.44,1.09,278.2,400
0,open,1000,0,397.0,1.83,0.44,1.02,316.1,400
1,query,1000,0,399.8,0.01,0.0,0.0,399.5,400
2,transfer,1000,0,399.4,1.81,0.44,1.13,305.9,400
0,open,1000,0,395.7,1.98,0.41,1.01,320.3,400
1,query,1000,0,398.7,0.01,0.0,0.0,398.2,400
2,transfer,1000,0,400.5,2.45,0.37,1.24,273.4,400
0,open,1000,0,395.6,1.9,0.35,0.96,321.6,400
1,query,1000,0,399.7,0.01,0.0,0.0,399.2,400
2,transfer,1000,0,399.8,2.76,0.43,1.24,244.5,400
0,open,1000,0,397.3,1.83,0.36,1.03,325.3,400
1,query,1000,0,400.0,0.01,0.0,0.0,399.7,400
2,transfer,1000,0,400.6,1.96,0.51,1.17,279.0,400
0,open,1000,0,499.5,1.97,0.55,1.22,326.3,500
1,query,1000,0,498.0,0.03,0.0,0.0,497.5,500
2,transfer,1000,0,501.8,2.2,0.16,1.43,316.6,500
0,open,1000,0,492.9,2.26,0.47,1.18,299.9,500
1,query,1000,0,498.0,0.01,0.0,0.0,497.5,500
2,transfer,1000,0,501.5,2.54,0.74,1.42,284.1,500
0,open,1000,0,497.3,1.67,0.52,1.05,344.4,500
1,query,1000,0,498.0,0.03,0.0,0.0,497.3,500
2,transfer,1000,0,478.0,1.97,0.16,1.27,316.0,500
0,open,1000,0,497.0,1.7,0.55,1.05,344.7,500
1,query,1000,0,499.8,0.03,0.0,0.0,499.3,500
2,transfer,1000,0,493.3,2.19,0.32,1.31,339.0,500
0,open,1000,0,498.3,1.72,0.47,1.05,348.2,500
1,query,1000,0,497.3,0.01,0.0,0.0,496.8,500
2,transfer,1000,0,501.8,2.58,0.28,1.45,290.4,500
0,open,1000,0,594.9,1.79,0.64,1.13,367.4,600
1,query,1000,0,601.0,0.02,0.0,0.0,600.2,600
2,transfer,1000,0,598.8,2.21,0.85,1.46,345.1,600
0,open,1000,0,583.8,2.23,0.67,1.44,299.6,600
1,query,1000,0,601.3,0.02,0.0,0.0,601.0,600
2,transfer,1000,0,569.2,2.17,0.29,1.52,335.3,600
0,open,1000,0,599.2,2.14,0.66,1.29,342.2,600
1,query,1000,0,600.6,0.08,0.0,0.0,599.9,600
2,transfer,1000,0,599.2,2.47,0.96,1.65,304.5,600
0,open,1000,0,595.6,1.63,0.66,1.14,370.4,600
1,query,1000,0,597.0,0.01,0.0,0.0,596.3,600
2,transfer,1000,0,597.4,2.25,0.8,1.56,294.1,600
0,open,1000,0,598.1,1.83,0.72,1.22,361.5,600
1,query,1000,0,595.9,0.01,0.0,0.0,595.2,600
2,transfer,1000,0,545.6,2.26,0.99,1.61,303.9,600
0,open,1000,0,684.0,2.38,0.92,1.55,316.2,700
1,query,1000,0,696.4,0.02,0.0,0.0,695.4,700
2,transfer,1000,0,696.4,2.86,1.04,1.96,277.9,700
0,open,1000,0,694.0,1.86,0.99,1.45,380.1,700
1,query,1000,0,689.2,0.04,0.0,0.0,688.2,700
2,transfer,1000,0,698.8,2.35,0.18,1.76,306.0,700
0,open,1000,0,670.7,1.68,0.72,1.24,412.0,700
1,query,1000,0,696.9,0.01,0.0,0.0,695.9,700
2,transfer,1000,0,701.8,2.15,0.62,1.47,365.4,700
0,open,1000,0,695.4,2.34,0.79,1.53,309.0,700
1,query,1000,0,699.8,0.02,0.0,0.0,699.3,700
2,transfer,1000,0,698.8,2.95,0.94,1.86,279.2,700
0,open,1000,0,695.4,1.8,0.84,1.33,399.0,700
1,query,1000,0,695.4,0.03,0.0,0.0,693.5,700
2,transfer,1000,0,699.8,2.3,0.37,1.5,352.2,700
0,open,1000,0,789.9,1.64,0.91,1.26,432.9,800
1,query,1000,0,792.4,0.01,0.0,0.0,791.8,800
2,transfer,1000,0,800.6,2.42,1.1,1.59,341.6,800
0,open,1000,0,799.4,2.32,0.98,1.46,310.7,800
1,query,1000,0,800.0,0.02,0.0,0.0,799.4,800
2,transfer,1000,0,798.1,2.17,1.01,1.54,339.6,800
0,open,1000,0,796.8,1.99,0.93,1.32,371.5,800
1,query,1000,0,798.1,0.02,0.0,0.0,797.4,800
2,transfer,1000,0,796.2,3.07,0.52,1.83,285.3,800
0,open,1000,0,789.3,1.64,0.95,1.26,436.5,800
1,query,1000,0,791.8,0.01,0.0,0.0,790.5,800
2,transfer,1000,0,786.8,1.82,1.14,1.46,397.5,800
0,open,1000,0,790.5,1.82,0.96,1.32,408.5,800
1,query,1000,0,791.1,0.01,0.0,0.0,790.5,800
2,transfer,1000,0,788.6,1.92,1.01,1.47,378.8,800
0,open,1000,0,903.3,1.68,0.96,1.3,450.2,900
1,query,1000,0,897.7,0.01,0.0,0.0,896.9,900
2,transfer,1000,0,900.9,2.16,1.34,1.74,366.4,900
0,open,1000,0,894.5,1.98,0.99,1.47,347.8,900
1,query,1000,0,882.6,0.02,0.0,0.0,879.5,900
2,transfer,1000,0,901.7,2.49,0.4,1.86,320.3,900
0,open,1000,0,888.1,1.65,0.98,1.27,466.4,900
1,query,1000,0,883.4,0.01,0.0,0.0,881.1,900
2,transfer,1000,0,897.7,2.12,1.24,1.59,408.8,900
0,open,1000,0,890.5,1.78,0.94,1.31,411.2,900
1,query,1000,0,896.9,0.01,0.0,0.0,895.3,900
2,transfer,1000,0,896.1,2.03,1.1,1.46,365.4,900
0,open,1000,0,897.7,1.59,0.92,1.27,442.3,900
1,query,1000,0,900.1,0.02,0.0,0.0,899.3,900
2,transfer,1000,0,893.7,2.03,1.06,1.52,378.1,900
0,open,1000,0,100.4,1.53,0.19,0.77,95.1,100
1,query,1000,0,100.3,0.04,0.0,0.0,100.3,100
2,transfer,1000,0,100.5,1.27,0.15,0.73,94.8,100
0,open,1000,0,100.4,1.22,0.15,0.69,93.9,100
1,query,1000,0,100.4,0.04,0.0,0.0,100.4,100
2,transfer,1000,0,100.4,1.23,0.14,0.69,94.8,100
0,open,1000,0,100.3,1.21,0.12,0.64,93.0,100
1,query,1000,0,100.3,0.03,0.0,0.0,100.3,100
2,transfer,1000,0,100.4,1.22,0.12,0.68,95.2,100
0,open,1000,0,100.4,1.19,0.11,0.63,93.1,100
1,query,1000,0,100.4,0.01,0.0,0.0,100.4,100
2,transfer,1000,0,100.4,1.19,0.11,0.65,94.5,100
0,open,1000,0,100.5,1.16,0.13,0.64,93.1,100
1,query,1000,0,100.5,0.01,0.0,0.0,100.4,100
2,transfer,1000,0,100.5,1.23,0.12,0.67,94.2,100
0,open,1000,0,994.0,1.82,0.93,1.36,456.6,1000
1,query,1000,0,983.3,0.02,0.0,0.0,982.3,1000
2,transfer,1000,0,979.4,2.42,1.56,1.99,365.5,1000
0,open,1000,0,980.4,1.72,0.73,1.3,448.6,1000
1,query,1000,0,984.3,0.01,0.0,0.0,983.3,1000
2,transfer,1000,0,996.0,2.34,1.34,1.77,376.5,1000
0,open,1000,0,994.0,1.76,0.81,1.35,445.6,1000
1,query,1000,0,991.1,0.02,0.0,0.0,989.1,1000
2,transfer,1000,0,993.0,2.5,1.25,1.89,376.9,1000
0,open,1000,0,996.0,1.75,0.9,1.35,438.8,1000
1,query,1000,0,989.1,0.02,0.0,0.0,987.2,1000
2,transfer,1000,0,999.0,2.3,1.23,1.76,374.1,1000
0,open,1000,0,990.1,1.7,1.04,1.35,444.0,1000
1,query,1000,0,980.4,0.01,0.0,0.0,978.5,1000
2,transfer,1000,0,997.0,2.43,1.3,1.86,356.6,1000
0,open,1000,0,200.4,1.3,0.19,0.75,174.2,200
1,query,1000,0,200.4,0.02,0.0,0.0,200.3,200
2,transfer,1000,0,200.8,1.39,0.16,0.81,178.9,200
0,open,1000,0,200.2,1.34,0.16,0.74,174.2,200
1,query,1000,0,200.4,0.01,0.0,0.0,200.3,200
2,transfer,1000,0,200.4,1.38,0.18,0.81,179.5,200
0,open,1000,0,200.9,1.31,0.18,0.73,173.8,200
1,query,1000,0,200.1,0.01,0.0,0.0,200.0,200
2,transfer,1000,0,200.1,1.36,0.18,0.81,178.3,200
0,open,1000,0,200.3,1.3,0.23,0.75,171.7,200
1,query,1000,0,200.4,0.01,0.0,0.0,200.3,200
2,transfer,1000,0,200.6,1.43,0.15,0.82,179.5,200
0,open,1000,0,201.0,1.3,0.21,0.76,174.3,200
1,query,1000,0,199.6,0.03,0.0,0.0,199.5,200
2,transfer,1000,0,200.2,1.39,0.16,0.82,178.6,200
0,open,1000,0,300.0,1.48,0.29,0.84,256.2,300
1,query,1000,0,299.5,0.03,0.0,0.0,299.2,300
2,transfer,1000,0,300.2,1.61,0.48,1.0,242.2,300
0,open,1000,0,299.6,1.63,0.26,0.86,257.3,300
1,query,1000,0,300.6,0.02,0.0,0.0,300.4,300
2,transfer,1000,0,299.4,1.56,0.44,0.96,245.0,300
0,open,1000,0,300.2,1.47,0.26,0.87,256.5,300
1,query,1000,0,299.2,0.01,0.0,0.0,299.0,300
2,transfer,1000,0,299.5,1.63,0.44,1.01,243.8,300
0,open,1000,0,300.6,1.5,0.27,0.87,252.7,300
1,query,1000,0,300.2,0.02,0.0,0.0,300.0,300
2,transfer,1000,0,300.9,1.56,0.39,0.98,245.3,300
0,open,1000,0,300.5,1.44,0.3,0.86,253.1,300
1,query,1000,0,299.8,0.01,0.0,0.0,299.6,300
2,transfer,1000,0,299.7,1.6,0.44,0.98,244.6,300
0,open,1000,0,401.1,1.52,0.42,0.94,325.5,400
1,query,1000,0,400.0,0.03,0.0,0.0,399.7,400
2,transfer,1000,0,397.1,1.78,0.41,1.06,321.4,400
0,open,1000,0,400.6,1.74,0.46,0.98,322.7,400
1,query,1000,0,400.3,0.01,0.0,0.0,400.0,400
2,transfer,1000,0,400.8,1.78,0.49,1.08,316.1,400
0,open,1000,0,399.8,1.63,0.39,0.99,322.0,400
1,query,1000,0,399.5,0.02,0.0,0.0,399.2,400
2,transfer,1000,0,397.8,1.84,0.33,1.07,285.1,400
0,open,1000,0,400.3,1.59,0.44,1.0,319.3,400
1,query,1000,0,398.7,0.03,0.0,0.0,398.4,400
2,transfer,1000,0,399.8,1.99,0.38,1.12,284.3,400
0,open,1000,0,400.5,1.68,0.38,0.95,323.0,400
1,query,1000,0,396.5,0.02,0.0,0.0,396.2,400
2,transfer,1000,0,400.8,1.76,0.37,1.04,322.5,400
0,open,1000,0,497.0,1.8,0.65,1.13,344.1,500
1,query,1000,0,499.0,0.04,0.0,0.0,498.0,500
2,transfer,1000,0,499.8,2.04,0.39,1.28,338.6,500
0,open,1000,0,498.0,1.82,0.59,1.15,349.5,500
1,query,1000,0,498.3,0.02,0.0,0.0,497.3,500
2,transfer,1000,0,501.0,2.12,0.38,1.28,349.9,500
0,open,1000,0,498.5,1.84,0.56,1.11,343.3,500
1,query,1000,0,491.6,0.01,0.0,0.0,490.9,500
2,transfer,1000,0,482.2,2.0,0.21,1.27,348.8,500
0,open,1000,0,501.5,1.67,0.44,1.06,344.5,500
1,query,1000,0,499.8,0.03,0.0,0.0,499.3,500
2,transfer,1000,0,501.0,2.11,0.24,1.26,350.4,500
0,open,1000,0,500.3,1.74,0.57,1.1,341.8,500
1,query,1000,0,498.5,0.01,0.0,0.0,498.0,500
2,transfer,1000,0,501.3,2.0,0.32,1.23,351.5,500
0,open,1000,0,593.8,1.68,0.67,1.18,364.8,600
1,query,1000,0,599.9,0.03,0.0,0.0,599.2,600
2,transfer,1000,0,564.7,1.91,0.93,1.42,356.5,600
0,open,1000,0,590.3,1.69,0.63,1.19,394.3,600
1,query,1000,0,591.0,0.01,0.0,0.0,590.0,600
2,transfer,1000,0,594.9,2.08,1.0,1.53,367.8,600
0,open,1000,0,578.7,1.83,0.61,1.23,368.6,600
1,query,1000,0,598.8,0.01,0.0,0.0,598.1,600
2,transfer,1000,0,562.1,1.85,0.88,1.39,359.1,600
0,open,1000,0,597.7,1.66,0.57,1.15,366.3,600
1,query,1000,0,593.8,0.02,0.0,0.0,592.8,600
2,transfer,1000,0,565.9,1.82,0.88,1.37,360.0,600
0,open,1000,0,597.4,1.71,0.64,1.15,399.0,600
1,query,1000,0,597.4,0.02,0.0,0.0,596.7,600
2,transfer,1000,0,593.8,2.15,1.02,1.56,352.7,600
0,open,1000,0,647.7,1.67,0.73,1.21,384.6,700
1,query,1000,0,684.5,0.02,0.0,0.0,684.0,700
2,transfer,1000,0,694.4,2.11,1.01,1.55,377.6,700
0,open,1000,0,693.0,1.79,0.83,1.26,421.2,700
1,query,1000,0,694.9,0.01,0.0,0.0,694.4,700
2,transfer,1000,0,699.3,2.05,0.57,1.36,369.7,700
0,open,1000,0,656.2,1.69,0.81,1.28,413.9,700
1,query,1000,0,695.9,0.01,0.0,0.0,694.9,700
2,transfer,1000,0,699.8,2.55,0.47,1.48,349.8,700
0,open,1000,0,682.1,1.67,0.8,1.21,429.0,700
1,query,1000,0,696.9,0.01,0.0,0.0,696.4,700
2,transfer,1000,0,698.3,2.04,0.53,1.36,378.8,700
0,open,1000,0,638.2,1.64,0.68,1.24,431.4,700
1,query,1000,0,697.8,0.01,0.0,0.0,696.4,700
2,transfer,1000,0,678.9,2.09,0.52,1.39,376.2,700
0,open,1000,0,798.7,1.77,0.95,1.35,423.4,800
1,query,1000,0,794.3,0.01,0.0,0.0,793.7,800
2,transfer,1000,0,801.9,1.88,1.02,1.45,388.7,800
0,open,1000,0,802.6,1.82,0.88,1.33,388.3,800
1,query,1000,0,796.8,0.03,0.0,0.0,795.5,800
2,transfer,1000,0,800.0,2.46,0.8,1.6,338.6,800
0,open,1000,0,784.3,1.63,0.93,1.27,425.4,800
1,query,1000,0,791.8,0.01,0.0,0.0,791.1,800
2,transfer,1000,0,797.4,2.21,1.04,1.48,330.0,800
0,open,1000,0,788.0,1.63,0.83,1.25,411.0,800
1,query,1000,0,781.3,0.02,0.0,0.0,780.6,800
2,transfer,1000,0,800.6,2.28,0.96,1.47,335.7,800
0,open,1000,0,786.2,1.76,0.95,1.35,412.7,800
1,query,1000,0,798.1,0.03,0.0,0.0,796.8,800
2,transfer,1000,0,796.8,2.14,1.11,1.57,377.6,800
0,open,1000,0,878.0,1.75,0.9,1.41,410.7,900
1,query,1000,0,883.4,0.02,0.0,0.0,881.8,900
2,transfer,1000,0,899.3,1.83,1.1,1.48,392.5,900
0,open,1000,0,891.3,1.66,0.96,1.26,458.7,900
1,query,1000,0,889.7,0.02,0.0,0.0,888.9,900
2,transfer,1000,0,899.3,2.37,1.18,1.7,382.4,900
0,open,1000,0,891.3,1.6,0.94,1.25,453.7,900
1,query,1000,0,896.9,0.01,0.0,0.0,896.1,900
2,transfer,1000,0,900.1,2.16,1.15,1.67,368.5,900
0,open,1000,0,899.3,1.66,0.95,1.35,434.0,900
1,query,1000,0,892.1,0.04,0.0,0.0,891.3,900
2,transfer,1000,0,892.9,1.9,1.15,1.53,394.3,900
0,open,1000,0,903.3,1.85,1.03,1.39,414.1,900
1,query,1000,0,889.7,0.01,0.0,0.0,888.9,900
2,transfer,1000,0,866.6,1.99,1.05,1.55,370.8,900
